date,symbol,open,close,volume,open_interest,first_notice,till_notice_cd,is_passed,Best_Vol,Best_Oi,B_V_3,auto_roll,Auto_Best_V,Forced_roll_V,Forced_Best_V,+2_Forced_Roll_V,+2_Forced_Best_V,auto_roll_hold,+1_auto_roll_hold,forced_roll_hold,f_r_h_Best_V,confirm_forced_roll_hold,Test_Hold,Test_Best_V
1989-05-17,ZC-1989U,258.0,258.5,2224,17288,1989-08-31,106,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-17,ZC-1989Z,254.25,254.25,9042,58573,1989-11-30,197,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-17,ZC-1990H,260.75,261.25,1120,7453,1990-02-28,287,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-17,ZC-1990K,264.0,263.0,37,1504,1990-04-30,348,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-17,ZC-1990N,265.0,264.5,45,826,1990-06-29,408,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-18,ZC-1989K,278.5,276.0,3539,1025,1989-04-28,-20,true,"","","",ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-18,ZC-1989N,272.5,271.75,17764,75713,1989-06-30,43,false,true,true,true,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-18,ZC-1989U,259.75,260.5,1266,17411,1989-08-31,105,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-18,ZC-1989Z,255.25,257.25,7503,58637,1989-11-30,196,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-18,ZC-1990H,261.75,263.75,414,7533,1990-02-28,286,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-18,ZC-1990K,266.0,266.0,4,1503,1990-04-30,347,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-18,ZC-1990N,265.5,267.5,5,826,1990-06-29,407,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-19,ZC-1989K,275.25,274.75,1152,213,1989-04-28,-21,true,"","","",ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-19,ZC-1989N,271.25,271.75,15597,74967,1989-06-30,42,false,true,true,true,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-19,ZC-1989U,260.0,261.5,925,17447,1989-08-31,104,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-19,ZC-1989Z,257.25,258.5,6900,59272,1989-11-30,195,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
1989-05-19,ZC-1990H,264.0,265.5,556,7635,1990-02-28,285,false,false,false,false,ZC-1989N,true,"","","","",ZC-1989N,ZC-1989U,ZC-1989N,true,ZC-1989N,ZC-1989N,true
